company,date,title,duration,summary,category
Confluent,2024-05-23,Some clusters were not visible in Confluent Cloud UI,1 day,Some clusters were not visible in Confluent Cloud UI from 2 PM UTC to 2:45 PM UTC. The services have been stable after the deployment of fix.,UI/Console Problem
MongoDB,2024-05-23,MongoDB Cloud: Occasional page load errors,13 minutes,Users experienced occasional page load errors on MongoDB Cloud. The incident has been resolved.,Performance Degradation
MongoDB,2024-05-13,MongoDB Atlas for Government: Cluster Operations Delayed,26 minutes,Cluster operations for MongoDB Atlas for Government were delayed. The issue has been fully resolved.,Database Problem
MongoDB,2024-05-09,Atlas Data Federation and Online Archive users may see increased query timeouts in AWS/ap-southeast-1,1 hour 11 minutes,Users of Atlas Data Federation and Online Archive may have experienced increased query timeouts in AWS/ap-southeast-1. The incident has been resolved.,Performance Degradation
Confluent,2024-05-08,[Scheduled] Confluent Cloud Identity API maintenance,1 hour 16 minutes,The scheduled maintenance for Confluent Cloud Identity API has been completed.,Scheduled Maintenance
MongoDB,2024-05-06,MongoDB Atlas: Invoice summaries are not loading,35 minutes,Users encountered issues with loading invoice summaries on MongoDB Atlas. The incident has been resolved.,Database Problem
MongoDB,2024-05-06,MongoDB Atlas and Cloud Manager: Degraded Performance for Atlas and Cloud Manager UI and API Operations,23 minutes,There was degraded performance for Atlas and Cloud Manager UI and API operations. The incident has been resolved.,Performance Degradation
MongoDB,2024-05-06,[Scheduled] MongoDB Cloud: Billing operations will be read-only,1 hour,Scheduled maintenance was conducted on MongoDB Cloud for billing operations to be read-only. The maintenance has been completed.,Scheduled Maintenance
Confluent,2024-04-30,Create Network is failing in Azure Cloud,1 hour 57 minutes,Create Network functionality in Azure Cloud was failing but has been resolved.,Network Issue
Confluent,2024-04-23,Flink statements unable to start,1 hour 48 minutes,Flink statements were unable to start but the issue has been resolved.,Performance Degradation
Confluent,2024-04-23,Kafka latency - Standard and Basic - Azure centralus,1 hour 31 minutes,Kafka latency issue in Azure centralus region for Standard and Basic clusters has been resolved.,Performance Degradation
Confluent,2024-04-21,Confluent Cloud Metrics API experiencing elevated error rates,Ongoing,Confluent Cloud Metrics API experienced a temporary spike in error rates. The situation has been remediated and is being monitored.,API Outage
Github,2024-02-29,"Incident with Issues, Webhooks and Actions",2 hours,"On February 29, 2024, between 9:32 and 11:54 UTC, queuing in our background job service caused processing delays to Webhooks, Actions, and Issues. Nearly 95% of delays occurred between 11:05 and 11:27 UTC, with 5% during the remainder of the incident. During this incident, the following customer impacts occurred: 50% of webhooks experienced delays of up to 5m, 1% of webhooks experienced delays of 17m at peak; Actions: on average, 7% of customers experienced delays, with a peak of 44%; and many Issues saw a delay in appearing in searches. At 9:32 UTC our automated failover successfully routed traffic to a secondary cluster. But an improper restoration to primary at 10:32 UTC caused a significant increase in queued jobs until 11:21 UTC, when a correction was made and healthy services began burning down the backlog until full resolution. We have made improvements to the automation and reliability of our fallback process to prevent recurrence. We also have larger work already in progress to improve the overall reliability of our job processing platform.",Performance Degradation
MongoDB,2024-02-28,"Delays Creating / Modifying Clusters in Azure ""East US 2"" Region",1 day,"The system encountered delays related to the Azure ""East US 2"" outage, but the issues have been resolved.",Performance Degradation
Confluent,2024-02-28,Connectors experience connectivity issues in AWS Cloud,7 hours 10 minutes,"Connectors experienced connectivity issues in AWS Cloud, impacting data flow. The incident has been resolved.",Network Issue
Confluent,2024-02-27,Connectors Health Degraded,3 hours 45 minutes,"Connectors health degraded, affecting system performance. Rollout is completed, and the incident is resolved.",Performance Degradation
Confluent,2024-02-23,Confluent Cloud Metrics API elevated error rates,27 minutes,"Confluent Cloud Metrics API experienced elevated error rates, impacting availability and latencies. The incident has been resolved, and systems have fully recovered.",API Outage
MongoDB,2024-02-23,Unable to create new Identity Providers for Federated Authentication,4 days,"Users experienced issues creating new Identity Providers for Federated Authentication, but the incident has been resolved.",Authentication/Authorization Issue
MongoDB,2024-02-22,Chat Support Unavailability,Ongoing,"Chat support was unavailable, but the issue has been identified and resolved.",UI/Console Problem
MongoDB,2024-02-21,Increased Error Rate in App Services Functions using deprecated 3rd Party Services,Ongoing,"Users accessing 3rd Party Services in App Services Functions may have experienced higher error rates, but the cause has been identified and resolved.",Third-party Service Dependency
